timestamp,bet_amount,outcome,balance,win_rate,consecutive_losses,cumulative_profit,rolling_win_rate
1725819329.2274227,10000,win,8010000,1.0,0,10000,
1725819369.6179643,10000,win,8020000,1.0,0,20000,
1725819427.0041447,10000,lose,8010000,0.6666666666666666,1,10000,
1725819467.8649008,240000,lose,7770000,0.5,2,-230000,
1725819506.3310866,470000,lose,7300000,0.4,3,-700000,
1725819619.5299425,1,lose,7299999,0.3333333333333333,4,-700001,
1725819655.859279,3,win,7300002,0.42857142857142855,0,-699998,
1725820565.8361979,10000,lose,7290002,0.375,1,-709998,
1725820607.0779634,220000,lose,7070002,0.3333333333333333,2,-929998,
1725820648.2789829,420000,lose,6650002,0.3,3,-1349998,
1725820684.2273562,1,lose,6650001,0.2727272727272727,4,-1349999,
1725820726.6830583,3,lose,6649998,0.25,5,-1350002,
1725821195.7179165,7,win,6650005,0.3076923076923077,0,-1349995,
1725821253.2091932,10000,lose,6640005,0.2857142857142857,1,-1359995,
1725821320.9272556,200000,win,6840005,0.3333333333333333,0,-1159995,
1725821357.7000446,10000,lose,6830005,0.3125,1,-1169995,
1725821394.78961,200000,lose,6630005,0.29411764705882354,2,-1369995,
1725821438.2760239,400000,win,7030005,0.3333333333333333,0,-969995,
1725821911.024434,10000,win,7040005,0.3684210526315789,0,-959995,
1725821951.7978911,10000,lose,7030005,0.35,1,-969995,
1725821992.4416413,210000,win,7240005,0.38095238095238093,0,-759995,
1725822033.4140403,10000,win,7250005,0.4090909090909091,0,-749995,
1725822518.1378462,10000,lose,7240005,0.391304347826087,1,-759995,
1725822558.2456746,220000,win,7460005,0.4166666666666667,0,-539995,
1725822595.1123497,10000,lose,7450005,0.4,1,-549995,
1725823091.0799325,220000,win,7670005,0.4230769230769231,0,-329995,
1725823144.4816837,10000,lose,7660005,0.4074074074074074,1,-339995,
1725823184.8394315,230000,win,7890005,0.42857142857142855,0,-109995,
1725823221.2703204,10000,lose,7880005,0.41379310344827586,1,-119995,
1725823701.845259,240000,lose,7640005,0.4,2,-359995,
1725823745.3268127,460000,lose,7180005,0.3870967741935484,3,-819995,
1725823799.141153,1,lose,7180004,0.375,4,-819996,
1725823842.2470348,3,win,7180007,0.3939393939393939,0,-819993,
1725823889.133609,10000,lose,7170007,0.38235294117647056,1,-829993,
1725823926.0723665,220000,lose,6950007,0.37142857142857144,2,-1049993,
1725823963.5810182,420000,lose,6530007,0.3611111111111111,3,-1469993,
1725824006.347925,1,win,6530008,0.3783783783783784,0,-1469992,
1725824050.0227416,10000,lose,6520008,0.3684210526315789,1,-1479992,
1725824090.3275707,200000,win,6720008,0.38461538461538464,0,-1279992,
1725824127.5768301,10000,lose,6710008,0.375,1,-1289992,
1725824164.4948096,200000,lose,6510008,0.36585365853658536,2,-1489992,
1725824205.295043,390000,win,6900008,0.38095238095238093,0,-1099992,
1725824679.954766,10000,win,6910008,0.3953488372093023,0,-1089992,
1725824716.8675654,10000,lose,6900008,0.38636363636363635,1,-1099992,
1725824754.1803243,210000,lose,6690008,0.37777777777777777,2,-1309992,
1725824791.3679857,400000,lose,6290008,0.3695652173913043,3,-1709992,
1725824831.2562816,1,lose,6290007,0.3617021276595745,4,-1709993,
1725825302.4633703,3,win,6290010,0.375,0,-1709990,
1725825359.8967023,10000,lose,6280010,0.3673469387755102,1,-1719990,
1725825400.127829,190000,lose,6090010,0.36,2,-1909990,0.36
1725825437.1958036,370000,win,6460010,0.37254901960784315,0,-1539990,0.36
1725825660.830822,10000,win,6470010,0.38461538461538464,0,-1529990,0.36
1725826151.9152684,10000,lose,6460010,0.37735849056603776,1,-1539990,0.36
1725826188.9262044,190000,lose,6270010,0.37037037037037035,2,-1729990,0.36
1725826226.576579,380000,lose,5890010,0.36363636363636365,3,-2109990,0.36
1725826263.3175948,1,win,5890011,0.375,0,-2109989,0.38
1725826300.2866752,10000,lose,5880011,0.3684210526315789,1,-2119989,0.36
1725826344.2869325,180000,win,6060011,0.3793103448275862,0,-1939989,0.38
1725826662.7316325,10000,lose,6050011,0.3728813559322034,1,-1949989,0.38
1725826713.6044068,180000,lose,5870011,0.36666666666666664,2,-2129989,0.38
1725826825.0025601,350000,win,6220011,0.3770491803278688,0,-1779989,0.4
1725826879.311046,10000,lose,6210011,0.3709677419354839,1,-1789989,0.4
1725826916.3810372,190000,lose,6020011,0.36507936507936506,2,-1979989,0.38
1725826953.2897983,360000,win,6380011,0.375,0,-1619989,0.4
1725826989.955225,10000,lose,6370011,0.36923076923076925,1,-1629989,0.38
1725827030.747009,190000,lose,6180011,0.36363636363636365,2,-1819989,0.38
1725827068.0430586,370000,lose,5810011,0.3582089552238806,3,-2189989,0.38
1725827108.6214936,1,lose,5810010,0.35294117647058826,4,-2189990,0.36
1725827155.6623769,3,lose,5810007,0.34782608695652173,5,-2189993,0.34
1725827195.1277854,7,win,5810014,0.35714285714285715,0,-2189986,0.36
1725827231.7650182,10000,win,5820014,0.36619718309859156,0,-2179986,0.36
1725827268.5383718,10000,lose,5810014,0.3611111111111111,1,-2189986,0.34
1725827312.2275825,170000,lose,5640014,0.3561643835616438,2,-2359986,0.34
1725827356.7345538,340000,win,5980014,0.36486486486486486,0,-2019986,0.34
1725827393.7406592,10000,win,5990014,0.37333333333333335,0,-2009986,0.36
1725827444.7025573,10000,lose,5980014,0.3684210526315789,1,-2019986,0.34
1725827495.2554865,180000,win,6160014,0.37662337662337664,0,-1839986,0.36
1725827609.6300485,10000,lose,6150014,0.3717948717948718,1,-1849986,0.34
1725827646.8363607,180000,lose,5970014,0.3670886075949367,2,-2029986,0.34
1725827687.0477753,360000,lose,5610014,0.3625,3,-2389986,0.34
1725827726.605771,1,win,5610015,0.37037037037037035,0,-2389985,0.36
1725827773.669545,10000,win,5620015,0.3780487804878049,0,-2379985,0.38
1725827834.5069323,10000,lose,5610015,0.37349397590361444,1,-2389985,0.36
1725827871.5143423,170000,win,5780015,0.38095238095238093,0,-2219985,0.38
1725827911.9127688,10000,win,5790015,0.38823529411764707,0,-2209985,0.4
1725827948.7341757,10000,win,5800015,0.3953488372093023,0,-2199985,0.42
1725828029.450791,10000,win,5810015,0.40229885057471265,0,-2189985,0.42
1725828076.9101558,10000,win,5820015,0.4090909090909091,0,-2179985,0.44
1725828128.1226428,10000,win,5830015,0.4157303370786517,0,-2169985,0.44
1725828168.4442039,10000,lose,5820015,0.4111111111111111,1,-2179985,0.44
1725828208.9357061,170000,win,5990015,0.4175824175824176,0,-2009985,0.46
1725828262.5918431,10000,win,6000015,0.42391304347826086,0,-1999985,0.46
1725828299.0834694,10000,win,6010015,0.43010752688172044,0,-1989985,0.46
1725828346.0143523,10000,win,6020015,0.43617021276595747,0,-1979985,0.48
1725828420.2542953,10000,win,6030015,0.4421052631578947,0,-1969985,0.5
1725828457.1228418,10000,win,6040015,0.4479166666666667,0,-1959985,0.52
1725828493.7782347,10000,lose,6030015,0.44329896907216493,1,-1969985,0.52
1725828534.150621,180000,win,6210015,0.4489795918367347,0,-1789985,0.52
1725828621.3810475,10000,lose,6200015,0.4444444444444444,1,-1799985,0.52
1725828661.5622427,190000,lose,6010015,0.44,2,-1989985,0.52
1725828708.9083824,360000,win,6370015,0.44554455445544555,0,-1629985,0.52
1725828789.409302,10000,win,6380015,0.45098039215686275,0,-1619985,0.52
1725828825.8784616,10000,lose,6370015,0.44660194174757284,1,-1629985,0.52
1725829044.891179,190000,lose,6180015,0.4423076923076923,2,-1819985,0.52
1725829105.3427374,370000,win,6550015,0.44761904761904764,0,-1449985,0.54
1725829233.4357634,10000,lose,6540015,0.44339622641509435,1,-1459985,0.52
1725829399.5738857,200000,lose,6340015,0.4392523364485981,2,-1659985,0.52
1725829493.46794,380000,win,6720015,0.4444444444444444,0,-1279985,0.52
1725829536.8871849,10000,lose,6710015,0.44036697247706424,1,-1289985,0.52
1725829590.8439267,200000,lose,6510015,0.43636363636363634,2,-1489985,0.52
1725829631.2688863,390000,win,6900015,0.44144144144144143,0,-1099985,0.52
1725829674.7598238,10000,lose,6890015,0.4375,1,-1109985,0.52
1725829714.967653,210000,win,7100015,0.4424778761061947,0,-899985,0.54
1725829792.0923464,10000,win,7110015,0.4473684210526316,0,-889985,0.54
1725829832.2971704,10000,win,7120015,0.45217391304347826,0,-879985,0.56
1725829868.800207,10000,lose,7110015,0.4482758620689655,1,-889985,0.56
1725830339.6537294,210000,lose,6900015,0.4444444444444444,2,-1099985,0.56
1725830376.4377851,410000,win,7310015,0.4491525423728814,0,-689985,0.58
1725830412.9415154,10000,lose,7300015,0.44537815126050423,1,-699985,0.58
1725830449.7764754,220000,win,7520015,0.45,0,-479985,0.58
1725830489.5109127,10000,lose,7510015,0.4462809917355372,1,-489985,0.56
1725830529.7189257,230000,lose,7280015,0.4426229508196721,2,-719985,0.56
1725830570.0724142,440000,win,7720015,0.44715447154471544,0,-279985,0.58
1725830697.7171216,10000,lose,7710015,0.4435483870967742,1,-289985,0.56
1725830747.8653493,230000,lose,7480015,0.44,2,-519985,0.54
1725830900.7536633,450000,lose,7030015,0.4365079365079365,3,-969985,0.54
1725830943.2613633,1,win,7030016,0.4409448818897638,0,-969984,0.54
1725831165.3061323,10000,lose,7020016,0.4375,1,-979984,0.54
1725831205.3893728,210000,win,7230016,0.4418604651162791,0,-769984,0.56
1725831248.6645427,10000,win,7240016,0.4461538461538462,0,-759984,0.58
1725831285.15063,10000,lose,7230016,0.44274809160305345,1,-769984,0.56
1725831322.0288827,220000,win,7450016,0.44696969696969696,0,-549984,0.56
1725831355.391423,10000,lose,7440016,0.44360902255639095,1,-559984,0.56
1725831388.85979,220000,win,7660016,0.44776119402985076,0,-339984,0.56
1725831425.4089663,10000,lose,7650016,0.4444444444444444,1,-349984,0.54
1725831475.9590414,230000,lose,7420016,0.4411764705882353,2,-579984,0.52
1725831520.5725183,450000,win,7870016,0.44525547445255476,0,-129984,0.52
1725831557.417075,10000,lose,7860016,0.4420289855072464,1,-139984,0.5
1725831621.0227067,240000,win,8100016,0.4460431654676259,0,100016,0.5
1725831657.8762398,10000,lose,8090016,0.44285714285714284,1,90016,0.5
1725831704.9400694,240000,win,8330016,0.44680851063829785,0,330016,0.5
1725831741.9147162,10000,win,8340016,0.4507042253521127,0,340016,0.5
1725831782.26223,10000,win,8350016,0.45454545454545453,0,350016,0.5
1725831818.7535071,10000,win,8360016,0.4583333333333333,0,360016,0.5
1725831875.3210592,10000,win,8370016,0.46206896551724136,0,370016,0.5
1725831911.9924946,10000,lose,8360016,0.4589041095890411,1,360016,0.48
1725831952.9718451,250000,win,8610016,0.46258503401360546,0,610016,0.5
1725831989.4270349,10000,lose,8600016,0.4594594594594595,1,600016,0.48
1725832036.4698474,260000,lose,8340016,0.4563758389261745,2,340016,0.48
1725832136.7500844,500000,win,8840016,0.46,0,840016,0.5
1725832224.44629,10000,lose,8830016,0.45695364238410596,1,830016,0.48
1725832274.6288795,260000,win,9090016,0.4605263157894737,0,1090016,0.48
1725832365.6536088,10000,win,9100016,0.46405228758169936,0,1100016,0.5
1725832402.4863844,10000,lose,9090016,0.461038961038961,1,1090016,0.5
1725832442.8123991,270000,lose,8820016,0.45806451612903226,2,820016,0.48
1725832555.6305892,530000,win,9350016,0.46153846153846156,0,1350016,0.5
1725832852.7932043,10000,win,9360016,0.46496815286624205,0,1360016,0.52
1725832896.320746,10000,lose,9350016,0.4620253164556962,1,1350016,0.5
1725832983.6315904,280000,lose,9070016,0.4591194968553459,2,1070016,0.5
1725833034.2456906,540000,win,9610016,0.4625,0,1610016,0.52
1725833111.7674217,10000,lose,9600016,0.45962732919254656,1,1600016,0.5
1725833173.3991187,290000,win,9890016,0.46296296296296297,0,1890016,0.52
1725833210.000688,10000,lose,9880016,0.4601226993865031,1,1880016,0.5
1725833269.2631073,300000,win,10180016,0.4634146341463415,0,2180016,0.5
1725833427.3112984,10000,lose,10170016,0.46060606060606063,1,2170016,0.48
1725833688.3488667,310000,lose,9860016,0.4578313253012048,2,1860016,0.48
